No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
65,NGC 1549,04h15m45.1054s,-55d35m31.859s,63.9379394,-55.5921831,0.00418999977,1256.13033006773,UUN,G,"IR,Radio,Xray",259,11,130,27,22,18,25,25,13,1
66,NGC 1553,04h16m10.4361s,-55d46m48.019s,64.043484,-55.7800054,0.003602,1079.852433716,SUN,G,"IR,Radio,UV,Xray",375,15,186,35,22,21,22,32,23,2
67,NGC 1581,04h24m44.8834s,-54d56m31.202s,66.1870143,-54.9420008,0.005337,1599.992348346,SUN,G,"IR,Radio",54,2,48,17,9,17,0,6,4,0
68,UGCA 092,04h32m04.9000s,+63d36m49.000s,68.02041666667,63.61361111111,-0.00033,-98.93151114,SUN,G,Radio,112,3,12,15,7,2,9,14,3,2
69,NGC 1600,04h31m39.8676s,-05d05m10.587s,67.9161151,-5.0862744,0.0157116,4710.2191831128,SLS,G,"IR,Radio,UV,Vis,Xray",372,9,95,40,28,6,12,10,9,0
70,ESO 118- G 034,04h40m17.4942s,-58d44m39.631s,70.0728926,-58.7443422,0.00383600011,1150.00390186517,SUN,G,"IR,Radio,UV",63,4,59,21,12,17,0,6,4,0
71,NGC 1700,04h56m56.3088s,-04d51m56.670s,74.2346201,-4.8657417,0.0130063311999663,3899.19999999999,SST,G,"IR,Xray",327,11,113,36,26,9,20,15,9,1
72,CGCG 421-019,05h16m55.0861s,+06d33m09.682s,79.2295255,6.5526897,0.0323060006,9685.09532802348,SUN,G,"IR,Radio,Xray",43,0,63,16,10,6,2,5,2,0
73,ESO 306- G 017,05h40m06.6709s,-40d50m11.317s,85.0277958,-40.8364772,0.0358050019,10734.0695282957,SUN,G,"IR,Radio,UV,Xray",54,3,72,20,13,20,0,2,4,0
74,NGC 2082,05h41m51.3141s,-64d18m04.370s,85.4638091,-64.301214,0.00395,1184.1802091,S1L,G,"IR,Radio",126,6,61,17,15,15,12,20,5,0
75,NGC 2329,07h09m08.0080s,+48d36m55.530s,107.28336666667,48.615425,0.0193300005,5794.98836303623,SUN,G,"Gamma,IR,Radio,UV,Xray",174,8,86,33,31,11,7,10,7,0
76,UGC 03755,07h13m51.7000s,+10d31m15.800s,108.46541666667,10.52105555556,0.00104999996,314.782068908302,SUN,G,Radio,101,2,25,31,16,5,8,15,1,3
77,ESO 059- G 001,07h31m18.4000s,-68d11m15.100s,112.82666666667,-68.18752777778,0.001768,530.033065744,UUN,G,Radio,80,3,20,23,14,13,5,11,8,1
78,NGC 2434,07h34m51.1806s,-69d17m02.843s,113.7132527,-69.2841232,0.004637,1390.137627746,SUN,G,IR,173,7,88,18,18,17,16,18,8,1
79,UGC 03974,07h41m55.4000s,+16d48m09.000s,115.48083333333,16.8025,0.000907,271.911759406,S1L,G,Radio,202,6,37,32,21,5,7,28,24,5
80,UGC 04115,07h57m01.8000s,+14d23m26.998s,119.2575,14.390833,0.001137,340.864024746,S1L,G,"Radio,Vis",154,3,23,35,19,3,7,23,5,6
81,UGC 04289,08h15m44.8603s,+58d19m15.762s,123.936918,58.3210451,0.027053878,8110.54858405212,SLS,G,"IR,Radio,UV,Vis",70,2,69,27,21,11,4,8,8,0
82,UGC 04426,08h28m28.4399s,+41d51m24.098s,127.1184999,41.856694,0.001321,396.025837018,S1L,G,Vis,172,6,34,38,19,6,5,21,38,3
83,NGC 2683,08h52m41.3033s,+33d25m18.672s,133.1720971,33.42185359,0.00137099996,411.015447926302,SUN,G,"IR,Radio,Xray",482,12,141,67,37,10,22,45,76,7
84,NGC 2758,09h05m31.2317s,-19d02m33.632s,136.3801324,-19.0426757,0.006538,1960.043090404,SUN,G,"IR,Radio",67,4,52,17,15,18,10,18,5,4
85,NGC 2768,09h11m37.5036s,+60d02m13.952s,137.906265,60.037209,0.004513,1352.963362954,UUN,G,"IR,Radio,Xray",514,14,115,55,43,7,18,36,31,8
86,NGC 2778,09h12m24.3789s,+35d01m39.154s,138.1015788,35.0275429,0.00683500012,2049.08148640509,SUN,G,"IR,UV,Xray",292,4,111,42,28,11,8,18,11,3
87,NGC 2865,09h23m30.2085s,-23d09m40.983s,140.875869,-23.1613843,0.00876300037,2627.08142037721,SUN,G,"IR,UV,Xray",218,11,93,28,24,20,17,25,6,1
88,ESO 498- G 005,09h24m40.6654s,-25d05m33.693s,141.1694395,-25.0926925,0.00809226494950717,2426.0,SUN,G,IR,52,2,47,16,11,19,1,4,5,1
89,NGC 2915,09h26m11.8348s,-76d37m35.960s,141.5493119,-76.6266558,0.001561,467.976026938,UUN,G,"IR,Radio",251,10,131,41,24,17,10,19,49,9
90,NGC 2902,09h30m52.8982s,-14d44m08.432s,142.7204095,-14.7356756,0.006655,1995.11880799,S1L,G,"IR,Radio",84,3,42,15,11,6,4,19,3,1
91,NGC 3056,09h54m32.8622s,-28d17m53.619s,148.636926,-28.2982275,0.003246,973.126318668,UUN,G,"IR,Radio,UV",90,5,52,20,16,19,6,18,7,2
92,NGC 3073,10h00m52.0747s,+55d37m07.645s,150.2169779,55.6187903,0.0037626564,1128.01601076543,SLS,G,"IR,UV,Vis",199,6,103,43,24,10,5,17,17,4
93,UGCA 196,10h03m41.7312s,-27d01m40.023s,150.9238801,-27.0277842,0.003186,955.138771188,S1L,G,"IR,Radio",80,3,56,26,18,18,13,24,8,4
94,NGC 3115B,10h05m41.6280s,-07d58m53.328s,151.42345,-7.98148,0.00227023723191862,680.599999999999,SLS,G,IR,84,1,39,23,12,7,3,8,4,1
95,NGC 3156,10h12m41.2619s,+03d07m45.771s,153.1719249,3.129381,0.004463,1337.973740054,UUN,G,"IR,UV,Vis",253,9,133,39,25,15,16,25,10,4
96,IC 0613,10h27m07.7908s,+11d00m38.569s,156.7824619,11.0107138,0.0323363,9694.1788596254,SLS,G,"IR,UV,Vis",69,0,85,25,20,11,2,3,2,2
97,NGC 3268,10h30m00.6492s,-35d19m31.614s,157.5027051,-35.3254485,0.00934000034,2800.06165964944,SUN,G,"IR,Radio,Vis",164,9,97,21,20,18,34,27,5,1
98,NGC 3259,10h32m34.8397s,+65d02m28.088s,158.1451658,65.0411358,0.005594,1677.039010052,S1L,G,"IR,Radio,Vis,Xray",188,8,106,44,38,15,22,41,20,3
99,NGC 3311,10h36m42.8028s,-27d31m41.232s,159.1783453,-27.5281201,0.0127588,3824.9920131304,UUN,G,"IR,Radio,UV,Xray",247,7,95,32,27,18,48,30,7,1
100,NGC 3348,10h47m10.0477s,+72d50m22.688s,161.7918656,72.8396358,0.00912931572147823,2736.9,SLS,G,"IR,Radio,Xray",153,5,46,26,19,7,11,19,4,2
101,NGC 3371,10h48m16.8986s,+12d37m45.481s,162.0704109,12.6293003,0.00234799995,703.912676394377,SUN,G,"IR,Xray",567,17,160,51,23,17,27,45,11,4
102,NGC 3414,10h51m16.2188s,+27d58m30.306s,162.8175786,27.9750852,0.004903,1469.882421574,UUN,G,"IR,Radio,UV,Xray",354,15,137,61,37,15,9,35,18,7
103,NGC 3455,10h54m31.0752s,+17d17m04.566s,163.62948,17.2846018,0.003686,1105.035000188,S1L,G,"IR,Radio,Vis",193,5,81,46,33,13,13,49,14,3
104,NGC 3489,11h00m18.5506s,+13d54m04.284s,165.0772942,13.9011901,0.00225799996,676.931358172302,SUN,G,"IR,UV,Xray",420,12,116,51,35,8,15,35,23,7
105,NGC 3550,11h10m38.6469s,+28d46m06.726s,167.6610288,28.768535,0.03444,10324.85225352,SUN,GPair,IR,59,3,31,9,21,5,0,9,2,0
106,NGC 3585,11h13m17.1051s,-26d45m17.451s,168.3212716,-26.7548477,0.00478299987,1433.90728764098,UUN,G,"IR,UV,Xray",297,8,119,36,20,21,18,19,10,1
107,NGC 3599,11h15m26.9571s,+18d06m37.526s,168.8623216,18.1104241,0.002799,839.119089942,UUN,G,"IR,UV,Xray",218,3,82,43,25,8,10,17,8,4
108,NGC 3607,11h16m54.6680s,+18d03m06.423s,169.2277834,18.0517842,0.003102,929.956204716,UUN,G,"IR,Radio,Xray",491,16,150,50,40,14,20,36,20,12
109,NGC 3608,11h16m58.9598s,+18d08m55.385s,169.245666,18.1487181,0.00418,1253.13247444,UUN,G,"IR,UV,Xray",544,16,176,61,37,14,20,35,18,4
110,NGC 3610,11h18m25.2709s,+58d47m10.370s,169.6052955,58.7862139,0.00569393910503246,1707.0,UUN,G,"IR,UV,Xray",302,8,115,35,21,11,15,36,15,5
111,IC 0712,11h34m49.3020s,+49d04m39.448s,173.7054252,49.0776247,0.033335,9993.58158743,SUN,G,"IR,Radio,UV,Vis,Xray",116,3,119,47,36,17,2,8,2,1
112,NGC 3818,11h41m57.3735s,-06d09m20.492s,175.4890566,-6.1556924,0.0056739999,1701.02237671275,SUN,G,"IR,UV",207,6,52,29,20,6,20,27,3,2
113,NGC 3842,11h44m02.1508s,+19d56m59.366s,176.008962,19.949824,0.0207943856946528,6234.0,SLS,G,"IR,Radio,UV,Vis,Xray",299,7,113,49,46,7,26,16,14,2
114,NGC 3870,11h45m56.6169s,+50d11m59.438s,176.485904,50.199844,0.002515,753.97803187,S1L,G,"IR,Radio,UV,Vis",197,3,182,48,38,16,5,24,40,6
