Galaxy,Other_ID,RA_hr,DEC_deg,Type,D_Mpc,D_Mpc+-,Method,A_V,M_V^T,M_V^T+-,M_K,M_K+-,N(GC),N(GC)+-,Source,sig_e_km/s,sig_e_km/s+-,R_e_kpc,R_e_kpc+-,lg_M_d_M_sun,lg_M_d_M_sun+-,lg_M_G_M_sun,lg_M_G_M_sun+-,lg_M_B_M_sun,lg_M_B_M_sun+,lg_M_B_M_sun-
NGC6086,A2162-1,16.2098828,29.4844782,E,137.3,9.6,Hubble,0.124,-23.04,0.22,-25.729,0.105,9200,2500,7,334.4,9.5,16.23,1.13,12.228,0.034,9.53,0.1,9.56,0.16,0.16
ESO-137-18,nid,16.3497628,-60.4875927,Sasc,5,1,TRGB,0.667,-17.91,0.5,-18.551,0.124,7,3,37,nd,nd,1.02,0.1,nd,nd,6.12,0.15,nd,nd,nd
NGC6160,A2197-2,16.4613916,40.9260593,E,136.4,9.6,Hubble,0.016,-22.77,1,-25.897,0.107,4560,1080,7,251.2,10.6,nd,nd,nd,nd,9.2,0.09,nd,nd,nd
NGC6166,A2199-BCG,16.4773144,39.5513608,E/cD,130.4,9.1,Hubble,0.038,-23.7,0.27,-26.412,0.105,17000,4000,7,308.2,6.9,30.06,2.1,12.424,0.032,9.84,0.09,nd,nd,nd
NGC6173,A2197-1,16.4958098,40.8115694,E,125.8,8.8,Hubble,0.024,-23.41,0.28,-26.137,0.104,4600,2600,7,277.8,13.2,16.31,1.14,12.069,0.04,9.25,0.19,nd,nd,nd
NGC6384,nid,17.5400644,7.0603015,Sbc,25.94,4.54,TF,0.409,-22.06,0.42,-24.586,0.106,60,13,22,128.3,8.7,12.49,2.19,11.282,0.079,7.28,0.09,nd,nd,nd
NGC6397-GAL1,nid,17.686722,-53.72125,E,375,15,Hubble,0.5,-20.5,1,nd,nd,1600,600,55b,nd,nd,nd,nd,nd,nd,8.61,0.2,nd,nd,nd
NGC6482,nid,17.863549,23.0719031,E,55.14,2.8,Hubble,0.328,-22.63,0.2,-25.371,0.101,1140,87,1a,309.8,11.7,nd,nd,nd,nd,8.59,0.03,nd,nd,nd
NGC6703,nid,18.7885588,45.5505326,E/S0,26.67,3.81,SBF,0.294,-21.1,0.44,-23.913,0.101,610,200,61,178.5,3.8,2.88,0.41,10.931,0.059,8.23,0.12,nd,nd,nd
Sagittarius-dE,nid,18.9220833,-30.5452778,dE,0.03,0,RRLyr,0.16,-13.9,0.5,nd,nd,6,2,63,nd,nd,nd,nd,nd,nd,5.9,0.12,nd,nd,nd
NGC6822,nid,19.7491622,-14.8003417,Irr,0.52,0.05,Cepheids/RRL,0.659,-15.5,0.3,-16.927,0.11,7,1,52/100,nd,nd,nd,nd,nd,nd,6.02,0.15,nd,nd,nd
ESO-185-IG013,nid,19.7501465,-54.2508181,S,78.4,5.5,Hubble,0.149,-19.84,0.36,-21.607,0.149,20,10,1,nd,nd,nd,nd,nd,nd,6.67,0.18,nd,nd,nd
KK-246,ESO-461-G036,20.0659444,-31.6816667,I,7.83,0.8,TRGB,0.812,-13.77,0.2,nd,nd,2,2,37,nd,nd,nd,nd,nd,nd,5.42,0.3,nd,nd,nd
NGC6861,nid,20.122079,-48.3702995,E/S0,28.05,5.06,SBF,0.18,-21.31,0.53,-24.551,0.101,1860,600,61,414,20,2.64,0.48,11.624,0.077,8.73,0.12,0,9.15,0
NGC6946,nid,20.5812748,60.1537739,SABc,6.08,0.62,PNLF,1.133,-21.24,0.33,-23.673,0.106,90,40,16,nd,nd,5.33,0.54,nd,nd,7.41,0.16,nd,nd,nd
NGC7014,nid,21.131154,-47.1790166,E,49.46,3.4,SBF,0.109,-21.19,0.2,-24.332,0.103,1634,88,74,294.5,9.1,5.57,0.38,11.652,0.034,8.66,0.02,nd,nd,nd
NGC7049,nid,21.3164289,-48.5629004,S0,29.92,3.19,SBF,0.18,-21.89,0.27,-25.153,0.102,2700,800,20,246.5,3.9,4.62,0.49,11.417,0.045,8.92,0.11,nd,nd,nd
NGC7173,nid,22.034261,-31.9737228,E,31.33,2.87,SBF,0.088,-20.54,0.33,-23.532,0.103,400,30,18,203.9,4.8,4.54,0.42,11.245,0.041,8.01,0.03,nd,nd,nd
IC5176,nid,22.2488373,-66.8493944,Sc,23.51,4.1,TF,0.085,-20.63,0.2,-23.126,0.104,132,25,39,nd,nd,2.22,0.39,nd,nd,7.54,0.08,nd,nd,nd
NGC7331,nid,22.6178186,34.4156195,Sbc,15.07,0.71,Cepheids,0.301,-21.71,0.2,-24.895,0.102,210,130,82,137.2,3.5,6.22,0.29,11.037,0.025,7.8,0.21,0,8.2,0
NGC7332,nid,22.6234762,23.7982595,S0,23.01,2.22,SBF,0.124,-20.83,0.25,-23.811,0.101,175,15,33/100a,124.9,3.3,1.64,0.16,10.376,0.043,7.67,0.04,7.11,0.17,0.21
NGC7339,nid,22.6297367,23.7867242,Sbc,23.1,2.22,TF,0.123,-20.39,0.25,-23.269,0.102,75,10,100a,nd,nd,nd,nd,nd,nd,7.28,0.05,nd,nd,nd
IC1459,nid,22.9529445,-36.4621765,E,29.24,4.02,SBF,0.043,-22.04,0.2,-25.53,0.103,2100,730,60,306.1,7.8,4.95,0.68,11.635,0.058,8.82,0.13,9.45,0.14,0.25
NGC7457,nid,23.0166472,30.1448889,S0,13.24,1.34,SBF,0.172,-19.58,0.25,-22.436,0.103,160,50,17/19/42,67,3,2.06,0.21,9.935,0.049,7.56,0.12,7,0.2,0.4
NGC7626,nid,23.3451444,8.2170556,E,47.42,2.24,SBF,0.24,-22.51,0.2,-25.374,0.102,2833,300,92,271.3,4.4,8.89,0.42,11.784,0.022,8.98,0.04,0,8.91,0
NGC7720,A2634-1,23.6415185,27.0316622,E,124.5,8.7,Hubble,0.228,-23.35,0.35,-26.225,0.105,18000,4600,Jul-48,359.1,10.7,18.53,1.29,12.347,0.034,9.84,0.1,nd,nd,nd
NGC7727,nid,23.6649578,-12.2928392,Sab,21,9.9,Hubble,0.093,-21.25,0.2,-23.933,0.104,850,320,96,196.1,15.6,7.46,0.53,11.427,0.054,8.38,0.14,nd,nd,nd
NGC7768,A2666-1,23.84961,27.1473359,E,112.1,7.9,Hubble,0.128,-23.07,0.2,-25.927,0.104,3000,1300,Jul-53,312.8,15.4,15.22,1.07,12.142,0.041,9.04,0.16,9.11,0.14,0.16
NGC7793,nid,23.9638247,-32.5910369,Scd,3.84,0.16,TRGB,0.053,-19.35,0.2,-21.072,0.116,17,5,70/75,nd,nd,2.16,0.09,nd,nd,6.58,0.11,nd,nd,nd
