Galaxy,Other_ID,RA_hr,DEC_deg,Type,D_Mpc,D_Mpc+-,Method,A_V,M_V^T,M_V^T+-,M_K,M_K+-,N(GC),N(GC)+-,Source,sig_e_km/s,sig_e_km/s+-,R_e_kpc,R_e_kpc+-,lg_M_d_M_sun,lg_M_d_M_sun+-,lg_M_G_M_sun,lg_M_G_M_sun+-,lg_M_B_M_sun,lg_M_B_M_sun+,lg_M_B_M_sun-
NGC3550,A185-1,11.1773588,28.7677111,S0,152.7,10.7,Hubble,0.074,-22.8,0.3,-25.968,0.105,6600,1650,7,192.1,6.7,nd,nd,nd,nd,9.37,0.1,nd,nd,nd
NGC3556,M108,11.1919311,55.6741454,SBc,12.42,0.9,Hubble,0.057,-20.5,0.2,-23.436,0.102,290,80,82,nd,nd,5.98,0.43,nd,nd,7.87,0.11,nd,nd,nd
NGC3585,nid,11.2214178,-26.754864,E7,21.2,1.73,SBF,0.212,-21.81,0.23,-24.952,0.102,300,100,81,213,10,4.27,0.37,11.256,0.045,7.96,0.12,8.51,0.15,0.13
NGC3599,nid,11.2574983,18.1103312,S0,20.32,1.76,SBF,0.068,-19.66,0.33,-22.276,0.103,29,10,61,67.3,4.4,2.35,0.2,9.996,0.051,6.82,0.13,nd,nd,nd
NGC3607,nid,11.2818155,18.0518988,S0,20,2,Hubble,0.069,-21.5,0.2,-24.519,0.103,600,200,60,229,11,4.18,0.42,11.31,0.05,8.25,0.12,8.15,0.1,0.15
NGC3608,nid,11.2830365,18.1485382,E2,23,2,SBF,0.069,-21.11,0.2,-23.72,0.101,450,200,60,182,9,3.74,0.25,11.062,0.04,8.1,0.16,8.67,0.09,0.1
NGC3610,nid,11.3070194,58.7862222,E5,35.1,4,SBF,0.033,-22.02,0.27,-24.822,0.101,400,150,40/60/99,162,4.6,2.62,0.05,10.806,0.019,8.1,0.14,nd,nd,nd
IC712,A1314-1,11.580362,49.0777584,E,146.6,10.3,Hubble,0.045,-22.68,0.2,-25.945,0.105,3470,910,7,345.3,13.8,3,0.5,11.522,0.07,9.08,0.1,nd,nd,nd
NGC3818,nid,11.6992674,-6.1555814,E,36.31,11.78,SBF,0.118,-21.21,0.88,-23.946,0.105,590,40,18,194.8,4.7,4,1.3,11.15,0.123,8.22,0.03,nd,nd,nd
NGC3842,A1367-1,11.7339363,19.9496957,E,94.9,6.7,Hubble,0.071,-23.14,0.2,-25.812,0.103,12000,3000,13-Jul,315,8,17.38,1.23,12.205,0.033,9.65,0.1,9.99,0.12,0.13
NGC3870,nid,11.7657223,50.1998609,S0,13.6,1,Hubble,0.052,-17.68,0.27,-19.853,0.108,13,5,61,27.6,5.7,0.51,0.04,8.558,0.115,6.38,0.14,nd,nd,nd
NGC3923,nid,11.8504901,-28.8059748,E4,22.91,3.15,SBF,0.275,-22.28,0.54,-25.33,0.104,2800,300,26/92/101,256.6,6.3,6.51,0.89,11.601,0.058,8.96,0.04,nd,nd,nd
NGC4013,nid,11.9753802,43.946764,Sb,17.74,1.6,TF,0.055,-20.07,0.31,-23.617,0.102,190,40,39/82,nd,nd,4.8,0.43,nd,nd,7.66,0.08,nd,nd,nd
NGC4033,nid,12.0096242,-17.8424655,E,21.09,2.36,SBF,0.157,-20.08,0.37,-22.939,0.103,160,15,18,143.2,12.3,1.34,0.15,10.408,0.066,7.59,0.04,nd,nd,nd
NGC4073,nid,12.0741877,1.8959276,E/cD,89,4.5,Hubble,0.074,-23.29,0.2,-26.266,0.104,8300,500,10a/43a,277.2,8.6,3.38,0.3,11.383,0.044,9.5,0.03,nd,nd,nd
IC3019,VCC-9,12.1561944,13.9924123,E,17.14,0.73,SBF,0.106,-18.04,0.2,nd,nd,25.7,6.4,77,nd,nd,nd,nd,nd,nd,6.69,0.1,nd,nd,nd
IC3025,VCC-21,12.1730797,10.1884664,S0-a,19.24,1.19,SBF,0.058,-16.83,0.2,-19.005,0.194,20.7,6.5,77,nd,nd,nd,nd,nd,nd,6.54,0.12,nd,nd,nd
NGC4150,nid,12.1760162,30.4015662,S0,13.74,1.61,SBF,0.06,-19.11,0.39,-21.708,0.101,7,4,56,85,8.4,1.18,0.14,9.899,0.073,6.18,0.2,0,6.38,0
NGC4157,nid,12.184549,50.4849043,SABb,15.43,3.1,TF,0.071,-19.66,0.2,-23.586,0.103,80,20,82,90.1,4.3,2.64,0.53,10.3,0.083,7.26,0.1,nd,nd,nd
IC3032,VCC-33,12.1854828,14.2749158,E,15.04,0.95,SBF,0.101,-16.39,0.2,-18.727,0.139,2.2,4.2,77,nd,nd,nd,nd,nd,nd,5.55,0.46,nd,nd,nd
NGC4163,nid,12.20256,36.169349,Irr,2.91,0.04,TRGB,0.054,-14.21,0.2,-14.954,0.137,2,2,37,nd,nd,0.38,nd,nd,nd,5.42,0.3,nd,nd,nd
KKH-77,UGC-7242,12.2356685,66.0946866,I,5.42,0.5,TRGB,0.051,-14.58,0.2,nd,nd,2,2,37,nd,nd,0.47,0.05,nd,nd,5.44,0.3,nd,nd,nd
NGC4203,nid,12.2513933,33.1972193,E/S0,15.14,1.31,SBF,0.04,-20.08,0.42,-23.499,0.101,175,100,61,162.4,5.9,1.49,0.13,10.563,0.042,7.63,0.2,0,8.08,0
IC3065,VCC-140,12.2534963,14.4328746,S0,16.4,0.57,SBF,0.098,-17.51,0.2,nd,nd,21.3,6.1,77,nd,nd,nd,nd,nd,nd,6.58,0.11,nd,nd,nd
VCC-158,nid,12.2611473,15.0055694,dE3N,16,2,Virgo,0.108,-15.98,0.2,nd,nd,10.4,5.4,67,nd,nd,nd,nd,nd,nd,6.2,0.18,nd,nd,nd
NGC4216,VCC-167,12.2650908,13.1495788,Sb,16,1,Virgo,0.087,-21.81,0.2,-24.506,0.102,620,310,43a,206.8,9.6,2.73,0.3,11.036,0.05,8.28,0.18,nd,nd,nd
VCC-200,nid,12.276029,13.0314159,E,18.22,0.69,SBF,0.084,-17.12,0.2,-18.8,0.156,15.5,5.8,77,nd,nd,nd,nd,nd,nd,6.43,0.14,nd,nd,nd
IC3101,VCC-230,12.2887939,11.9435126,E,17.82,0.93,SBF,0.076,-16.21,0.2,-18.345,0.228,28.7,6.7,77,nd,nd,nd,nd,nd,nd,6.65,0.09,nd,nd,nd
VCC-240,nid,12.29203,14.3556,dE2N,16,2,Virgo,0.09,-13.61,0.2,nd,nd,8.5,4.8,67,nd,nd,0.45,0.05,nd,nd,6.04,0.19,nd,nd,nd
IC3131,VCC-0308,12.3141181,7.8616444,E,27.7,2,Hubble,0.058,-17.6,0.2,-21.128,0.163,8,3,61,nd,nd,nd,nd,nd,nd,6.16,0.14,nd,nd,nd
NGC4261,nid,12.3230597,5.8250408,E2,31.62,2.89,SBF,0.06,-22.14,0.21,-25.143,0.104,1242,250,9,315,15,7.42,0.68,11.836,0.047,8.6,0.08,8.71,0.08,0.09
NGC4262,VCC-355,12.3251724,14.8775797,SB0,15.42,0.43,SBF,0.116,-19.51,0.2,-22.597,0.101,100,31,77,189.7,14.3,0.82,0.02,10.441,0.045,7.35,0.12,nd,nd,nd
UGC-7369,nid,12.327428,29.8830783,dSph,11.6,1,TRGB,0.053,-16.17,0.2,-18.534,0.131,22,7,37,nd,nd,0.84,0.1,nd,nd,6.54,0.12,nd,nd,nd
NGC4267,VCC-369,12.3292582,12.7984218,SB0,15.82,0.54,SBF,0.157,-20.22,0.2,-23.171,0.103,179,17,77,164.7,5.3,3.18,0.11,10.905,0.024,7.65,0.04,nd,nd,nd
NGC4278,nid,12.3352206,29.2806358,E,16.07,1.55,SBF,0.095,-20.97,0.34,-23.856,0.101,1100,300,46/60,237.2,5.2,2.68,0.26,11.147,0.042,8.48,0.1,0,8.23,0
NGC4291,nid,12.3382472,75.3709444,E,26.18,4.16,SBF,0.121,-20.74,0.38,-23.686,0.101,950,170,60,242,12,2.19,0.35,11.077,0.07,8.4,0.07,8.98,0.1,0.18
VCC-437,nid,12.346896,17.4871256,S0,17.17,0.65,SBF,0.084,-17.82,0.2,-19.653,0.135,42.1,7.9,77,47,6,2.97,0.11,9.785,0.073,6.89,0.07,nd,nd,nd
VCC-452,nid,12.3513338,11.7546998,dE4N,16,2,Virgo,0.077,-15.88,0.2,nd,nd,18.1,6.2,67,23.8,1.1,nd,nd,nd,nd,6.44,0.13,nd,nd,nd
VCC-503,nid,12.36395,8.541,dE3N,16,2,Virgo,0.051,-14.88,0.2,nd,nd,2.9,4.3,67,nd,nd,nd,nd,nd,nd,5.61,0.39,nd,nd,nd
VCC-529,nid,12.3690531,9.8944991,dE4N,16,2,Virgo,0.065,-13.47,0.2,nd,nd,4.1,4.1,67,nd,nd,nd,nd,nd,nd,5.72,0.3,nd,nd,nd
NGC4309A,VCC-538,12.37075,7.1672222,E,22.95,0.97,SBF,0.054,-16.24,0.2,-18.532,0.248,0.6,3.5,77,nd,nd,nd,nd,nd,nd,4.98,0.83,nd,nd,nd
VCC-543,UGC-7436,12.3720924,14.7608234,S0,15.72,0.57,SBF,0.087,-17.41,0.2,-19.648,0.144,18.1,5.5,77,30.5,2,2.13,0.08,9.265,0.041,6.51,0.12,nd,nd,nd
VCC-571,nid,12.3780998,7.9503588,S0-a,23.79,1.12,SBF,0.059,-17.32,0.2,-19.408,0.189,10.9,5.6,77,nd,nd,nd,nd,nd,nd,6.28,0.18,nd,nd,nd
NGC4318,VCC-575,12.3786891,8.1982701,E,22.08,0.62,SBF,0.083,-18.5,0.21,-21.382,0.108,18,6.1,77,95,3.9,0.77,0.02,9.811,0.027,6.56,0.13,nd,nd,nd
VCC-646,nid,12.39212,17.7946,dE3,16,2,Virgo,0.082,-12.9,0.2,nd,nd,5.3,4.6,67,nd,nd,nd,nd,nd,nd,5.83,0.27,nd,nd,nd
NGC4340,VCC-654,12.3931399,16.7224629,IB,16,2,TF,0.072,-17.56,0.43,-22.707,0.102,45,16,77,116.3,3,2.75,0.4,10.54,0.061,6.91,0.13,nd,nd,nd
NGC4350,VCC-685,12.3993938,16.6934705,S0,15.5,0.78,GCLF,0.093,-20.05,0.2,-23.147,0.1,196,60,77,180.5,7.2,2.05,0.1,10.793,0.031,7.68,0.12,8.74,0.1,0.1
NGC4352,VCC-698,12.4013879,11.2180617,S0,18.64,0.1,SBF,0.084,-18.86,0.2,-21.495,0.11,114,12,77,69.8,5.9,2,0.01,9.957,0.049,7.38,0.04,nd,nd,nd
NGC4365,VCC-731,12.4078472,7.3175759,E3,23.33,0.65,SBF,0.07,-22.35,0.2,-25.207,0.104,3246,598,77,256.1,3.4,7.83,0.22,11.679,0.014,9.03,0.07,nd,nd,nd
VCC-747,nid,12.4132726,8.9915323,dE0N,18.5,2.1,Hubble,0.059,-15.47,0.2,nd,nd,16.4,5.7,67,nd,nd,nd,nd,nd,nd,6.38,0.13,nd,nd,nd
IC3292,VCC-751,12.4134315,18.1950949,S0-a,15.79,0.58,SBF,0.091,-16.97,0.2,-19.173,0.12,9.2,4.3,77,nd,nd,0.99,0.1,nd,nd,6.19,0.17,nd,nd,nd
NGC4371,VCC-759,12.4153949,11.7042761,SB0,16.98,0.48,SBF,0.122,-20.46,0.2,-23.445,0.103,200,41,77,137.1,2.6,2.77,0.08,10.684,0.017,7.71,0.08,nd,nd,nd
NGC4374,VCC-763/M84,12.4176847,12.8870714,E1,18.51,0.61,SBF,0.134,-22.36,0.2,-25.13,0.103,4301,1201,77,296,14,5.46,0.18,11.648,0.031,9.15,0.11,8.96,0.05,0.04
NGC4377,VCC-778,12.4200851,14.7622825,S0,17.67,0.59,SBF,0.12,-19.48,0.2,-22.42,0.101,74,32,77,144.1,9.8,0.97,0.03,10.272,0.042,7.22,0.16,nd,nd,nd
NGC4379,VCC-784,12.420754,15.6074246,S0,15.88,0.52,SBF,0.077,-19.36,0.2,-22.248,0.102,50,14,77,115.9,4.8,1.18,0.04,10.167,0.028,7.04,0.11,nd,nd,nd
NGC4382,VCC-798/M85,12.4233458,18.1907561,S0,17.88,0.56,SBF,0.103,-22.25,0.2,-25.128,0.102,1110,181,77,178.7,5,7.48,0.23,11.347,0.021,8.56,0.07,0,7.81,0
NGC4387,VCC-828,12.4282469,12.8104541,E,18,0.62,SBF,0.11,-19.27,0.2,-22.135,0.102,69.5,9.8,77,105,2.5,1.27,0.04,10.115,0.02,7.18,0.06,nd,nd,nd
IC3328,VCC-856,12.432742,10.0537409,E,16.85,0.6,SBF,0.067,-17.57,0.2,-19.837,0.159,43.4,7.9,77,33.6,1.7,1.29,0.05,9.131,0.033,6.89,0.07,nd,nd,nd
VCC-871,nid,12.4349003,12.5596651,dE4N,16,2,Virgo,0.09,-16.36,0.2,nd,nd,18.2,5.8,67,nd,nd,1.42,0.17,nd,nd,6.46,0.12,nd,nd,nd
NGC4406,VCC-881/M86,12.4365983,12.9461081,E3,17.09,0.52,SBF,0.098,-22.36,0.2,-25.071,0.104,2800,200,77,234.8,3.1,12.69,0.39,11.814,0.015,8.97,0.03,nd,nd,nd
VCC-896,nid,12.4396125,12.7866299,dE3N,16,2,Virgo,0.079,-13.97,0.2,nd,nd,5.3,4.6,67,nd,nd,0.66,0.11,nd,nd,5.84,0.27,nd,nd,nd
VCC-940,nid,12.44641,12.454047,dE1N,18.7,2,SBF,0.084,-16.96,0.2,-19.485,0.128,61.4,9.5,67,32.4,1.7,1.75,0.19,9.233,0.054,7.02,0.06,nd,nd,nd
NGC4417,VCC-944,12.4473867,9.5842429,SB0,16.03,0.53,SBF,0.081,-20,0.2,-22.86,0.104,72,10,77,135.2,2.7,1.22,0.04,10.318,0.018,7.24,0.06,nd,nd,nd
NGC4417,VCC-944,12.4473867,9.5842429,SB0,16.03,0.53,SBF,0.081,-20,0.2,-22.86,0.104,72,10,77,135.2,2.7,1.22,0.04,10.318,0.018,7.24,0.06,nd,nd,nd
VCC-949,nid,12.4484701,10.6657846,dE4N,23,1.7,SBF,0.084,-16.57,0.2,nd,nd,23.1,6.9,67,nd,nd,2.98,0.22,nd,nd,6.58,0.11,nd,nd,nd
VCC-965,nid,12.4508701,12.5605406,dE7N,16.9,1.3,Hubble,0.082,-16.37,0.2,-18.397,0.165,15.4,5.3,67,42,8,2.09,0.16,9.535,0.107,6.39,0.13,nd,nd,nd
VCC-992,nid,12.4551879,8.212848,dE0N,16,2,Virgo,0.062,-15.87,0.2,nd,nd,3.5,4.8,67,nd,nd,0.79,0.09,nd,nd,5.73,0.38,nd,nd,nd
NGC4431,nid,12.4576049,12.2903069,S0,15.8,0.4,SBF,0.094,-18.2,0.2,-20.695,0.11,11,5,61,48.4,5.2,1.68,0.04,9.564,0.062,6.33,0.16,nd,nd,nd
NGC4434,VCC-1025,12.4601861,8.1543056,E,22.48,0.78,SBF,0.074,-19.68,0.2,-22.556,0.104,141,34,77,120.2,2.9,1.42,0.05,10.281,0.021,7.51,0.09,nd,nd,nd
NGC4435,VCC-1030,12.4612448,13.0789039,SB0,16.65,0.52,SBF,0.1,-20.4,0.2,-23.821,0.101,345,80,77,156.7,5.8,2.94,0.09,10.828,0.026,7.94,0.09,0,6.88,0
VCC-1049,UGC-7580,12.4652328,8.0904719,S0-a,16.02,0.58,SBF,0.062,-16.69,0.2,-19.492,0.174,8.4,4.5,77,28,15,nd,nd,nd,nd,6.14,0.19,nd,nd,nd
NGC4442,VCC-1062,12.4677458,9.8036849,SB0,15.31,0.52,SBF,0.073,-20.56,0.2,-23.639,0.103,178,30,77,186.7,8.6,1.74,0.06,10.752,0.031,7.66,0.07,nd,nd,nd
VCC-1073,nid,12.4690523,12.0932895,dE3N,16,2,Virgo,0.076,-17.54,0.2,-20.27,0.158,19.6,6.8,67,44.5,2.1,2.04,0.29,9.574,0.063,6.55,0.13,nd,nd,nd
VCC-1077,nid,12.46953,12.8068,dE0N,16,2,Virgo,0.064,-12.55,0.2,nd,nd,1.8,5.3,67,nd,nd,nd,nd,nd,nd,5.35,0.6,nd,nd,nd
NGC4449,nid,12.4697278,44.0930273,IB,4.13,0.21,TRGB,0.064,-18.56,0.24,-20.836,0.108,12,5,2,nd,nd,1.54,0.08,nd,nd,6.38,0.15,nd,nd,nd
IC3383,VCC-1075,12.4700923,10.297706,E,16.18,0.75,SBF,0.074,-16.78,0.2,-18.232,0.248,16.5,5.2,77,33,9,1.66,0.08,9.226,0.143,6.44,0.12,nd,nd,nd
IC3381,VCC-1087,12.4708115,11.7898275,E,16.67,0.59,SBF,0.072,-17.79,0.2,-20.069,0.155,66,9.5,77,39.1,1.5,2.85,0.1,9.608,0.027,7.09,0.06,nd,nd,nd
VCC-1105,nid,12.4742934,14.155745,dE0N,16,2,Virgo,0.121,-15.55,0.2,nd,nd,4.8,4,67,nd,nd,nd,nd,nd,nd,5.85,0.26,nd,nd,nd
VCC-1104,nid,12.4744587,12.8236608,dE1N,15.7,1.6,TRGB,0.059,-16.2,0.2,nd,nd,8,6,24,nd,nd,0.96,0.1,nd,nd,6.1,0.24,nd,nd,nd
VCC-1107,nid,12.475095,7.32525,dE4N,16,2,Virgo,0.057,-16.58,0.2,nd,nd,25.3,6.5,67,nd,nd,nd,nd,nd,nd,6.62,0.1,nd,nd,nd
NGC4452,VCC-1125,12.4786925,11.7550552,S0,15.85,1.07,GCLF,0.095,-19.12,0.2,-21.906,0.106,52.3,8.5,77,268.8,28.7,2.94,0.2,11.295,0.067,7.05,0.07,nd,nd,nd
NGC4458,VCC-1146,12.4826502,13.2418293,E0,16.32,0.53,SBF,0.079,-19.07,0.2,-21.757,0.102,72,12,77,102.7,2.9,1.44,0.05,10.151,0.022,7.19,0.07,nd,nd,nd
NGC4459,VCC-1154,12.4833389,13.9785556,S0,16.01,0.55,SBF,0.153,-20.81,0.2,-23.886,0.101,218,28,77,167,8,3.09,0.11,10.904,0.032,7.76,0.05,7.84,0.08,0.08
VCC-1167,nid,12.48672,7.8787,dE0N,16,2,Virgo,0.067,-16,0.2,nd,nd,14,9,24,nd,nd,1.02,0.3,nd,nd,6.33,0.22,nd,nd,nd
NGC4464,VCC-1178,12.4892528,8.1565556,S,15.8,0.54,SBF,0.072,-18.56,0.2,-21.421,0.104,25.3,9.2,77,126.9,3.4,0.53,0.02,9.898,0.022,6.71,0.13,nd,nd,nd
VCC-1185,nid,12.4898714,12.4506659,E,16.9,0.8,SBF,0.062,-16.77,0.2,-17.885,0.172,14,5.7,77,nd,nd,1.52,0.07,nd,nd,6.37,0.15,nd,nd,nd
NGC4472,VCC-1226/M49,12.4963306,8.0003889,E2,17.03,0.21,SBF,0.074,-22.82,0.2,-25.768,0.103,7000,800,77,293.8,2.9,12.65,0.16,12.007,0.008,9.39,0.05,9.26,0.12,0.18
NGC4473,VCC-1231,12.4969066,13.4293972,E5,15.25,0.51,SBF,0.094,-20.81,0.2,-23.77,0.103,376,97,77,190,9,3.01,0.1,11.005,0.031,8,0.1,7.95,0.19,0.29
NGC4474,VCC-1242,12.4982081,14.0686238,S0,15.46,0.58,SBF,0.14,-19.59,0.2,-22.261,0.101,116,24,77,87.7,4,2.09,0.08,10.176,0.031,7.42,0.08,nd,nd,nd
NGC4476,VCC-1250,12.4997498,12.3486308,S0,17.68,0.65,SBF,0.094,-19.14,0.2,-21.783,0.102,20.1,7.3,77,59.8,6,1.88,0.07,9.796,0.059,6.64,0.13,nd,nd,nd
VCC-1252,nid,12.5005624,9.474343,dE0N,16,2,Virgo,0.054,-12.87,0.2,nd,nd,7.6,4.9,67,nd,nd,0.58,0.06,nd,nd,5.98,0.22,nd,nd,nd
VCC-1254,nid,12.5014329,8.0737952,dE0N,16,2,Virgo,0.061,-16.67,0.2,-19.323,0.18,26,11,24/67,31.4,1.6,0.93,0.1,8.929,0.053,6.63,0.14,nd,nd,nd
NGC4482,VCC-1261,12.5028757,10.7795088,E,18.18,0.6,SBF,0.077,-19.64,0.2,-20.724,0.129,35.1,7.6,77,40.3,4.8,2.14,0.07,9.51,0.069,6.91,0.09,nd,nd,nd
VCC-1272,nid,12.5044515,13.3075107,dE1N,16,2,Virgo,0.073,-13.23,0.2,nd,nd,2.9,4,67,nd,nd,nd,nd,nd,nd,5.57,0.38,nd,nd,nd
NGC4478,VCC-1279,12.5049358,12.3268025,E2,17.05,0.57,SBF,0.082,-19.79,0.2,-22.812,0.101,58,11,77,137.4,2.4,1.08,0.04,10.277,0.018,7.13,0.08,nd,nd,nd
NGC4479,VCC-1283,12.5051053,13.5775551,S0,17.4,0.59,SBF,0.098,-18.86,0.2,-21.44,0.104,58.6,9.3,77,83.3,3.7,1.94,0.07,10.097,0.03,7.09,0.06,nd,nd,nd
NGC4486B,VCC-1297,12.5088833,12.4902222,E0,16.26,0.64,SBF,0.07,-17.77,0.2,-20.977,0.101,4,11,77,169.2,3.9,0.49,0.02,10.113,0.022,5.87,0.57,0,9,0
NGC4483,VCC-1303,12.5112912,9.0156507,S0-a,16.75,0.56,SBF,0.066,-18.96,0.2,-21.84,0.105,72,18,77,nd,nd,1.4,0.05,nd,nd,7.18,0.1,nd,nd,nd
VCC-1308,nid,12.5127518,11.343224,dE6N,16,2,Virgo,0.096,-16.59,0.2,-18.252,0.225,8.2,5.1,67,33.6,1.6,0.8,0.1,8.922,0.058,6.13,0.21,nd,nd,nd
VCC-1311,nid,12.5131411,7.6057586,dE1N,16,2,Virgo,0.052,-16,0.2,nd,nd,20,6,24/67,nd,nd,nd,nd,nd,nd,6.49,0.11,nd,nd,nd
NGC4486,VCC-1316/M87,12.5137243,12.391217,E0,17,0.3,SBF,0.074,-22.61,0.2,-25.348,0.102,13000,800,77,375,18,7.3,0.12,11.98,0.029,9.65,0.03,9.77,0.03,0.03
NGC4489,VCC-1321,12.5145121,16.7587743,E,15.38,0.5,SBF,0.092,-19.03,0.2,-21.58,0.104,31,9,77,53.1,2,1.3,0.04,9.533,0.026,6.82,0.11,nd,nd,nd
NGC4486A,VCC-1327,12.5160333,12.2703333,E,18.36,0.64,SBF,0.065,-18.7,0.2,-22.314,0.101,11,12,77,111,5,0.54,0.02,9.795,0.03,6.35,0.32,7.15,0.13,0.11
VCC-1333,nid,12.51698,7.7233,dE0N,16,6,Virgo,0.056,-14.9,0.2,nd,nd,11,8,24,nd,nd,nd,nd,nd,nd,6.19,0.24,nd,nd,nd
IC3442,VCC-1355,12.522275,14.1151,E,16.94,0.7,SBF,0.094,-17.51,0.2,-16.847,0.153,10.8,5.6,77,nd,nd,3.07,0.13,nd,nd,6.29,0.18,nd,nd,nd
NGC4494,nid,12.5233526,25.7746797,E1,17.06,0.89,SBF,0.071,-21.4,0.2,-24.17,0.103,392,49,35,150.2,3.7,4.02,0.21,10.927,0.026,8.05,0.05,nd,nd,nd
VCC-1363,nid,12.5243049,10.936096,dE3N,16,2,Virgo,0.088,-12.67,0.2,nd,nd,0,3,67,nd,nd,0.39,0.04,nd,nd,6.19,0.24,nd,nd,nd
VCC-1386,nid,12.5309392,12.6566595,dE3N,16,2,Virgo,0.069,-17.34,0.2,999999,99999,26.6,7.2,67,20.5,2.1,1.8,0.19,8.848,0.072,6.67,0.1,nd,nd,nd
VCC-1386,nid,12.5309392,12.6566595,dE3N,16.1,1.13,SBF,0.069,-16.9,0.2,nd,nd,26,12,24,nd,nd,nd,nd,nd,nd,6.64,0.16,nd,nd,nd
IC3461,VCC-1407,12.5341003,11.8900222,E,16.76,0.55,SBF,0.085,-16.72,0.2,-18.717,0.181,49.7,8.6,77,28.6,3.1,0.92,0.03,8.845,0.063,6.91,0.07,nd,nd,nd
IC3468,VCC-1422,12.5372808,10.2514683,E,15.4,0.53,SBF,0.087,-17.97,0.2,-20.436,0.151,24.9,6,77,34.4,3.8,1.51,0.05,9.221,0.064,6.67,0.09,nd,nd,nd
IC3470,VCC-1431,12.5398239,11.2629094,E,16.11,0.57,SBF,0.148,-17.39,0.2,-19.874,0.122,60.6,9.3,77,nd,nd,0.73,0.03,nd,nd,7.03,0.06,nd,nd,nd
IC798,VCC-1440,12.5426158,15.4154106,E,16.07,0.6,SBF,0.074,-16.86,0.2,-19.403,0.125,26.7,6.8,77,nd,nd,0.87,0.03,nd,nd,6.65,0.1,nd,nd,nd
NGC4517,nid,12.5459661,0.1146246,Sc,9.26,0.66,TF,0.079,-19.52,0.33,-22.513,0.105,270,60,39,nd,nd,4.16,0.3,nd,nd,7.79,0.09,nd,nd,nd
NGC4515,VCC-1475,12.5513766,16.2654979,S0,16.68,0.55,SBF,0.085,-18.79,0.2,-21.232,0.103,81,10,77,86,2.9,0.84,0.03,9.762,0.025,7.22,0.05,nd,nd,nd
IC3487,VCC-1488,12.5537421,9.3972438,E/S0,16.24,1.03,SBF,0.058,-16.78,0.2,-18.834,0.173,7.3,4.2,77,28.9,1.4,0.91,0.06,8.848,0.039,6.08,0.2,nd,nd,nd
IC3490,VCC-1489,12.5538613,10.9285504,E,18.19,1.35,SBF,0.101,-15.61,0.2,nd,nd,11.7,4.8,77,nd,nd,1.12,0.09,nd,nd,6.24,0.15,nd,nd,nd
VCC-1497,nid,12.55512,17.4594,dE4N,16,2,Virgo,0.071,-16.01,0.2,nd,nd,5.8,5.4,67,nd,nd,1.5,0.15,nd,nd,5.95,0.29,nd,nd,nd
IC3492,VCC-1499,12.5555005,12.8535563,E,16,2,Virgo,0.084,-16.53,0.2,-18.126,0.154,19,6.6,77,nd,nd,0.54,0.09,nd,nd,6.49,0.13,nd,nd,nd
VCC-1512,nid,12.5596318,11.2619432,S0,18.37,0.43,SBF,0.142,-16.25,0.2,nd,nd,4.7,3.8,77,nd,nd,0.81,0.02,nd,nd,5.87,0.26,nd,nd,nd
VCC-1514,nid,12.5604847,7.873191,dE7N,16,2,Virgo,0.053,-16.57,0.2,999999,99999,2.1,2.9,67,46,7,2.15,0.19,9.626,0.091,5.53,0.38,nd,nd,nd
IC3501,VCC-1528,12.5643352,13.3225267,E/S0,16.31,0.58,SBF,0.076,-17.16,0.2,-19.829,0.115,40.7,7.6,77,nd,nd,0.77,0.03,nd,nd,6.85,0.07,nd,nd,nd
VCC-1530,nid,12.5654725,5.7185909,dE2N,16,2,Virgo,0.062,-13.37,0.2,nd,nd,7.6,4.9,67,nd,nd,nd,nd,nd,nd,5.99,0.22,nd,nd,nd
NGC4526,VCC-1535,12.5675099,7.6992057,S0,16.9,1.63,SBF,0.074,-21.51,0.22,-24.674,0.102,388,117,77,251.1,16.1,1.96,0.48,11.061,0.101,8.06,0.11,0,8.48,0
NGC4528,VCC-1537,12.5683602,11.3212251,S0,15.79,0.5,SBF,0.151,-19.08,0.2,-22.04,0.102,31.4,7.2,77,116.8,7.1,0.79,0.03,10.001,0.038,6.83,0.09,nd,nd,nd
VCC-1539,nid,12.5685442,12.7415603,E,17,0.17,SBF,0.087,-16.05,0.2,nd,nd,31,7,77,nd,nd,1.19,0.01,nd,nd,6.68,0.09,nd,nd,nd
IC3509,VCC-1545,12.5698661,12.048979,E,16.82,0.64,SBF,0.114,-16.91,0.2,-19.157,0.124,54.2,8.8,77,nd,nd,0.88,0.03,nd,nd,6.96,0.07,nd,nd,nd
VCC-1577,nid,12.5773429,15.6027837,dE4,16,2,Virgo,0.077,-15.89,0.2,999999,99999,14.6,5.9,67,26,1.3,0.93,0.04,8.765,0.035,6.35,0.15,nd,nd,nd
IC3540,VCC-1614,12.5908932,12.7503131,S0,15.35,1.18,Hubble,0.127,-17.1,0.2,-19.668,0.113,26,10,61,nd,nd,0.66,0.05,nd,nd,6.65,0.14,nd,nd,nd
NGC4550,VCC-1619,12.5917858,12.2211893,SB0,15.44,0.49,SBF,0.129,-19.39,0.2,-22.265,0.102,84,19,77,96.4,4.2,1.42,0.05,10.088,0.029,7.27,0.09,nd,nd,nd
VCC-1627,nid,12.5936793,12.3820387,E,15.63,2.07,SBF,0.107,-16.46,0.2,-19.318,0.111,3.6,3.7,77,nd,nd,0.29,0.04,nd,nd,5.76,0.31,nd,nd,nd
